El Hadji Malick Diouf	32	2711	0	0.57	-0.57	18	4	0.00%	0.03
Rúben Dias	26	2140	2	0.56	1.44	10	4	20.00%	0.06
Emmanuel Agbadou	14	1101	0	0.56	-0.56	10	3	0.00%	0.06
Toti Gomes	19	1427	0	0.53	-0.53	5	2	0.00%	0.11
Douglas Luiz	21	923	1	0.53	0.47	11	5	9.09%	0.05
André	35	2766	1	0.52	0.48	15	1	6.67%	0.03
Jeremie Frimpong	21	1039	0	0.51	-0.51	10	2	0.00%	0.05
Boubacar Kamara	18	1418	1	0.49	0.51	7	4	14.29%	0.07
Kobbie Mainoo	28	1653	1	0.48	0.52	13	3	7.69%	0.04
Ilia Gruev	23	1322	0	0.47	-0.47	7	1	0.00%	0.07
Soungoutou Magassa	22	979	1	0.44	0.56	7	2	14.29%	0.06
Bashir Humphreys	20	1578	0	0.42	-0.42	9	3	0.00%	0.05
Ola Aina	18	1590	0	0.40	-0.40	12	1	0.00%	0.03
Piero Hincapié	25	1792	1	0.36	0.64	3	2	33.33%	0.12
Ayden Heaven	17	923	0	0.35	-0.35	3	0	0.00%	0.12
Matheus Nunes	34	2865	1	0.35	0.65	7	2	14.29%	0.05
Quilindschy Hartman	21	1830	0	0.34	-0.34	9	3	0.00%	0.04
Jackson Tchatchoua	31	1837	0	0.33	-0.33	2	1	0.00%	0.17
Jordan Henderson	32	1922	1	0.33	0.67	6	1	16.67%	0.06
Jorrel Hato	22	1142	0	0.31	-0.31	4	0	0.00%	0.08
Vitalii Mykolenko	33	2960	0	0.29	-0.29	9	2	0.00%	0.03
Victor Lindelöf	17	944	0	0.28	-0.28	3	0	0.00%	0.09
Hjalmar Ekdal	19	1539	0	0.26	-0.26	6	1	0.00%	0.04
Jean-Clair Todibo	23	1817	0	0.24	-0.24	2	0	0.00%	0.12
Conor Bradley	15	932	0	0.24	-0.24	6	0	0.00%	0.04
James Ward-Prowse	18	1096	0	0.22	-0.22	5	2	0.00%	0.04
Freddie Potts	22	1167	0	0.21	-0.21	3	1	0.00%	0.07
Noussair Mazraoui	20	984	0	0.19	-0.19	5	0	0.00%	0.04
Destiny Udogie	20	1340	0	0.19	-0.19	4	1	0.00%	0.05
Reinildo Mandava	25	1969	0	0.18	-0.18	4	0	0.00%	0.04
Rico Henry	25	1328	0	0.18	-0.18	5	0	0.00%	0.04
Kyle Walker	36	3097	0	0.16	-0.16	4	0	0.00%	0.04
Lisandro Martínez	18	1231	0	0.15	-0.15	5	0	0.00%	0.03
Tino Livramento	17	1328	0	0.14	-0.14	3	0	0.00%	0.05
David Møller Wolfe	22	1049	0	0.12	-0.12	3	0	0.00%	0.04
Cristhian Mosquera	20	989	0	0.10	-0.10	1	0	0.00%	0.10
Kieran Trippier	21	1592	0	0.08	-0.08	2	0	0.00%	0.04
Jorge Cuenca	15	938	0	0.05	-0.05	1	0	0.00%	0.05
Bafodé Diakité	18	1275	0	0.02	-0.02	1	0	0.00%	0.02
Lamare Bogarde	28	1047	0	0.00	0.00	0	0	0.00%	0.00
Adam Smith	22	1076	0	0.00	0.00	0	0	0.00%	0.00
Aaron Wan-Bissaka	25	2084	0	0.00	0.00	0	0	0.00%	0.00
